sipdeck_id	namn	kategori
bourbon	Bourbonwhisky	Whisky
absinthe	Absint	Absint
cachaca	Cachaça	Cachaça
gin	Gin	Gin
dark-rum	Mörk rom	Rom
aged-rum	Lagrad rom	Rom
mezcal	Mezcal	Mezcal
old-tom-gin	Old Tom-gin	Gin
white-rum	Vit rom	Rom
vanilla-vodka	Vaniljvodka	Vodka
vodka	Vodka	Vodka
orange-curacao	Apelsincuraçao	Likör
aperol	Aperol	Bitterlikör
campari	Campari	Bitterlikör
coffee-liqueur	Kaffelikör	Likör
raspberry-liqueur	Hallonlikör	Likör
triple-sec	Triple sec	Likör
angostura-bitters	Angostura bitters	Bitter
