cav_nr	namn	argang	antal_kvar	pris	typ	mat	land	drickes	temp	karaff_h	lank
143	Colombera & Garella Coste della Sesia	2020	2	155	Rött vin	Färsk tagliatelle med salvia och smör	Italien	2021-2026	16	0	https://www.caviste.se/cav/cav0143-colombera-garella/
139	Buondonno Chianti Classico	2019	1	175	Rött vin	Lasagne, vällagrad parmigiano reggiano efter mat	Italien	2021-2029	16	0	https://www.caviste.se/cav/cav0139-buondonno/
140	Domaine de Marcoux Côtes du Rhône	2020	2	195	Rött vin	Gryta långkok på kött och vilt	Frankrike	2021-2026	16-18	0	https://www.caviste.se/cav/cav0140-domaine-de-marcoux/
144	Patrick Piuze Chablis Terroir de la Chapelle	2020	0	235	Torrt vitt vin	Ostron, Fisk, Skaldjur	Frankrike	2022-2026	10	0	https://www.caviste.se/cav/cav0144-patrick-piuze/
179	Descombes Régnié Vieilles Vignes	2022	1	255	Rött vin	egen hand, charkbricka, grillad örtmarinerad kyckling	Frankrike	2024-2029	14	0	https://www.caviste.se/cav/cav0179-georges-descombes/
179	Descombes Brouilly Vieilles Vignes	2022	2	265	Rött vin	svalt till grillade hantverkskorv och fransk potatissallad	Frankrike	2024-2032	14	0	https://www.caviste.se/cav/cav0179-georges-descombes/
179	Descombes Morgon Vieilles Vignes	2022	0	275	Rött vin	grillad gris i alla former eller högrevsburgare med smakrika tillbehör	Frankrike	2024-2032	14	0	https://www.caviste.se/cav/cav0179-georges-descombes/
144	Patrick Piuze Chablis La Butte 'O'	2020	1	275	Torrt vitt vin	Ugnsbakad Skreitorsk med skirat smör och pepparrot	Frankrike	2022-2027	10	0	https://www.caviste.se/cav/cav0144-patrick-piuze/
143	Colombera & Garella Bramaterra	2018	3	275	Rött vin	Långkok på kalv- eller nötkött kryddat med salvia och citron	Italien	2022-2028	16	1	https://www.caviste.se/cav/cav0143-colombera-garella/
143	Colombera & Garella Lessona	2018	1	275	Rött vin	klassiska italienska rätter på kalv eller kyckling	Italien	2022-2029	16	1	https://www.caviste.se/cav/cav0143-colombera-garella/
139	Buondonno Chianti Classico Riserva	2018	1	295	Rött vin	lammgryta eller vild fågel med tillbehör från skogen	Italien	2021-2030	16-18	1	https://www.caviste.se/cav/cav0139-buondonno/
141	Ferdinando Principiano Barolo del Comune di Serralunga d'Alba	2017	0	315	Rött vin	viltkött och svamp, anka och vildfågel	Italien	2021-2029	16	1	https://www.caviste.se/cav/cav0141-ferdinando-principiano/
144	Patrick Piuze Chablis Premier Cru Les Forêts	2020	0	395	Torrt vitt vin	Skaldjur, Hummer	Frankrike	2022-2029	12	1	https://www.caviste.se/cav/cav0144-patrick-piuze/
137	Le Grappin Savigny-les-Beaune Rouge	2019	1	395	Rött vin	Vild fågel, Saftiga kycklingrätter med svamp	Frankrike	2021-2027	15	1	https://www.caviste.se/cav/cav0137-le-grappin/
137	Le Grappin Savigny-les-Beaune Blanc	2019	1	395	Torrt vitt vin	Mustig fiskgryta	Frankrike	2021-2026	10-12	0	https://www.caviste.se/cav/cav0137-le-grappin/
140	Domaine de Marcoux Châteauneuf du Pape	2019	3	425	Rött vin	Rosastekt örtkryddat lamm	Frankrike	2022-2030	16-18	1	https://www.caviste.se/cav/cav0140-domaine-de-marcoux/
137	Le Grappin Monthelie Les Toisières	2019	1	435	Torrt vitt vin	Grillade skaldjur, Fransk ostbricka och baguette	Frankrike	2021-2027	12	1	https://www.caviste.se/cav/cav0137-le-grappin/
144	Patrick Piuze Chablis Grand Cru Bougros	2020	2	475	Torrt vitt vin	Piggvar med vitvinssås och pressad potatis	Frankrike	2022-2030	10	2	https://www.caviste.se/cav/cav0144-patrick-piuze/
137	Le Grappin Santenay Premier Cru Les Gravières Rouge	2019	1	495	Rött vin	Ugnsrostad kyckling med svampsås	Frankrike	2022-2028	15	1	https://www.caviste.se/cav/cav0137-le-grappin/
137	Le Grappin Beaune Premier Cru Boucherottes	2019	1	535	Rött vin	Rosastekt anka med apelsinsås, Boeuf bourguignon	Frankrike	2022-2030	15	2	https://www.caviste.se/cav/cav0137-le-grappin/
137	Le Grappin Beaune Premier Cru Les Grèves Blanc	2019	1	535	Torrt vitt vin	Marulk med smakrika tillbehör och god sås	Frankrike	2022-2030	12	2	https://www.caviste.se/cav/cav0137-le-grappin/
